query,intent
hello,greeting
hi,greeting
hey,greeting
good morning,greeting
good evening,greeting
how are you,greeting
what's up,greeting
hi there,greeting
hello there,greeting
hey buddy,greeting
good day,greeting
how’s it going,greeting
what’s happening,greeting
price of a product,price_inquiry
how much is this,price_inquiry
what is the cost of this product,price_inquiry
can you tell me the price,price_inquiry
what's the cheapest phone,price_inquiry
how much does it cost,price_inquiry
can you show me the price,price_inquiry
what’s the price of this item,price_inquiry
give me the cost details,price_inquiry
is this affordable,price_inquiry
track my order,order_tracking
where is my shipment,order_tracking
can you find my package,order_tracking
check my order status,order_tracking
is my order shipped,order_tracking
what’s the status of my delivery,order_tracking
has my order been dispatched,order_tracking
is my package in transit,order_tracking
can you locate my parcel,order_tracking
when will my order arrive,order_tracking
cancel my order,order_cancellation
i want to cancel my order,order_cancellation
can you cancel this order,order_cancellation
help me cancel my order,order_cancellation
is it possible to cancel my order,order_cancellation
can you stop my order,order_cancellation
i made a mistake cancel my order,order_cancellation
cancel this item for me,order_cancellation
how do i cancel my order,order_cancellation
i need help,help_request
can you assist me,help_request
i have a problem,help_request
i need support,help_request
please help me,help_request
i need guidance,help_request
can someone assist me,help_request
i’m stuck,help_request
could you help me,help_request
i need advice,help_request
suggest a good product,product_recommendation
what do you recommend,product_recommendation
which phone should i buy,product_recommendation
what are the best headphones,product_recommendation
help me choose a product,product_recommendation
can you suggest something,product_recommendation
recommend a good item for me,product_recommendation
what are the top-rated products,product_recommendation
which product is trending,product_recommendation
bye,farewell
goodbye,farewell
see you later,farewell
take care,farewell
talk to you soon,farewell
catch you later,farewell
have a great day,farewell
see you soon,farewell
later,farewell
peace out,farewell
bye for now,farewell
hi there,greeting
hello there,greeting
hey buddy,greeting
good day,greeting
what's going on,greeting
can you show me the price,price_inquiry
tell me the cost,price_inquiry
what's the price for this,price_inquiry
how expensive is this,price_inquiry
give me a price comparison,price_inquiry
has my package arrived,order_tracking
is the order delivered,order_tracking
what's the delivery status,order_tracking
can you update me on my order,order_tracking
how long will it take for my order,order_tracking
can I cancel my order,order_cancellation
is it possible to cancel,order_cancellation
help me reverse my order,order_cancellation
how do I cancel this order,order_cancellation
"I made a mistake, cancel my order",order_cancellation
please assist me,help_request
I need guidance,help_request
help me out,help_request
can I get support,help_request
"I'm stuck, help me",help_request
what's a good option,product_recommendation
which one do you suggest,product_recommendation
what's the top choice,product_recommendation
what product do you recommend,product_recommendation
help me choose the best product,product_recommendation
see you,farewell
catch you later,farewell
have a good day,farewell
later,farewell
peace out,farewell
hi there,greeting
hello there,greeting
hey buddy,greeting
good day,greeting
what's going on,greeting
can you show me the price,price_inquiry
tell me the cost,price_inquiry
what's the price for this,price_inquiry
how expensive is this,price_inquiry
give me a price comparison,price_inquiry
has my package arrived,order_tracking
is the order delivered,order_tracking
what's the delivery status,order_tracking
can you update me on my order,order_tracking
how long will it take for my order,order_tracking
can I cancel my order,order_cancellation
is it possible to cancel,order_cancellation
help me reverse my order,order_cancellation
how do I cancel this order,order_cancellation
"I made a mistake, cancel my order",order_cancellation
please assist me,help_request
I need guidance,help_request
help me out,help_request
can I get support,help_request
"I'm stuck, help me",help_request
what's a good option,product_recommendation
which one do you suggest,product_recommendation
what's the top choice,product_recommendation
what product do you recommend,product_recommendation
help me choose the best product,product_recommendation
see you,farewell
catch you later,farewell
have a good day,farewell
later,farewell
peace out,farewell
